,Team,Player,Week,Rank,Expected_Points,Actual_Points,Difference,Position
0,I dont know what im doing,Leonard Fournette,1,14,258.74,154.7,-104.04000000000002,RB
1,I dont know what im doing,Davante Adams,1,4,253.59,230.8,-22.789999999999992,WR
2,I dont know what im doing,Mike Evans,1,20,223.32,139.2,-84.12,WR
3,I dont know what im doing,Breece Hall,1,26,210.66,115.1,-95.56,RB
4,I dont know what im doing,Brandin Cooks,1,46,215.1,102.7,-112.39999999999999,WR
5,I dont know what im doing,Dalton Schultz,1,18,176.66,80.0,-96.66,TE
6,I dont know what im doing,Devin Singletary,1,19,188.72,139.9,-48.81999999999999,RB
7,I dont know what im doing,Amari Cooper,1,8,198.97,176.2,-22.77000000000001,WR
8,I dont know what im doing,Russell Wilson,1,21,302.42,135.56,-166.86,QB
9,I dont know what im doing,Cordarrelle Patterson,1,32,167.88,102.1,-65.78,RB
10,I dont know what im doing,Zach Ertz,1,4,148.18,115.6,-32.58000000000001,TE
11,I dont know what im doing,Tyler Boyd,1,29,168.31,127.42,-40.89,WR
12,I dont know what im doing,Evan McPherson,1,11,148.47,90.0,-58.47,K
13,I dont know what im doing,Patriots D/ST,1,1,90.39,115.0,24.61,D/ST
14,I dont know what im doing,J.D. McKissic,1,55,144.62,55.8,-88.82000000000001,RB
15,I dont know what im doing,Jalen Tolbert,1,185,21.28,3.2,-18.080000000000002,WR
16,Just-in-N-out Drive thru,Justin Jefferson,1,2,287.8,244.86,-42.94,WR
17,Just-in-N-out Drive thru,Justin Herbert,1,9,328.04,193.96,-134.08,QB
18,Just-in-N-out Drive thru,Nick Chubb,1,5,216.04,208.1,-7.939999999999998,RB
19,Just-in-N-out Drive thru,George Kittle,1,7,169.59,103.0,-66.59,TE
20,Just-in-N-out Drive thru,Josh Jacobs,1,2,210.51,242.4,31.890000000000015,RB
21,Just-in-N-out Drive thru,DK Metcalf,1,18,212.43,146.1,-66.33000000000001,WR
22,Just-in-N-out Drive thru,Miles Sanders,1,13,184.65,159.0,-25.650000000000006,RB
23,Just-in-N-out Drive thru,Nick Folk,1,3,141.25,106.0,-35.25,K
24,Just-in-N-out Drive thru,Tyler Lockett,1,13,197.01,159.8,-37.20999999999998,WR
25,Just-in-N-out Drive thru,Brandon Aiyuk,1,17,184.92,150.9,-34.01999999999998,WR
26,Just-in-N-out Drive thru,James Cook,1,50,126.71,66.4,-60.30999999999999,RB
27,Just-in-N-out Drive thru,Bills D/ST,1,6,143.85,99.0,-44.849999999999994,D/ST
28,Just-in-N-out Drive thru,Hunter Henry,1,24,146.38,70.6,-75.78,TE
29,Just-in-N-out Drive thru,Rex Burkhead,1,52,125.89,58.7,-67.19,RB
30,Just-in-N-out Drive thru,Jarvis Landry,1,86,144.95,56.8,-88.14999999999999,WR
31,Just-in-N-out Drive thru,Matthew Stafford,1,26,285.7,108.38,-177.32,QB
32,Cougar Town Zach Wilson,Deebo Samuel,1,22,261.46,137.3,-124.15999999999997,WR
33,Cougar Town Zach Wilson,Josh Allen,1,1,374.63,294.34,-80.29000000000002,QB
34,Cougar Town Zach Wilson,James Conner,1,24,240.04,119.7,-120.33999999999999,RB
35,Cougar Town Zach Wilson,David Montgomery,1,25,219.92,118.8,-101.11999999999999,RB
36,Cougar Town Zach Wilson,Elijah Mitchell,1,78,197.42,26.1,-171.32,RB
37,Cougar Town Zach Wilson,Gabe Davis,1,21,207.23,137.5,-69.72999999999999,WR
38,Cougar Town Zach Wilson,Justin Tucker,1,2,144.4,111.0,-33.400000000000006,K
39,Cougar Town Zach Wilson,Dallas Goedert,1,5,150.33,113.4,-36.93000000000001,TE
40,Cougar Town Zach Wilson,Damien Harris,1,45,174.55,76.8,-97.75000000000001,RB
41,Cougar Town Zach Wilson,Elijah Moore,1,88,198.34,53.6,-144.74,WR
42,Cougar Town Zach Wilson,Dawson Knox,1,19,146.56,77.7,-68.86,TE
43,Cougar Town Zach Wilson,DJ Chark,1,116,146.04,32.4,-113.63999999999999,WR
44,Cougar Town Zach Wilson,Steelers D/ST,1,24,108.82,49.0,-59.81999999999999,D/ST
45,Cougar Town Zach Wilson,Noah Fant,1,23,139.83,73.0,-66.83000000000001,TE
46,Cougar Town Zach Wilson,Brian Robinson Jr.,1,48,102.87,73.4,-29.47,RB
47,Cougar Town Zach Wilson,Kirk Cousins,1,13,269.17,177.3,-91.87,QB
48,Couv Reigning Champ,Dalvin Cook,1,11,258.49,166.1,-92.39000000000001,RB
49,Couv Reigning Champ,D'Andre Swift,1,31,253.66,103.8,-149.86,RB
50,Couv Reigning Champ,Javonte Williams,1,63,238.99,42.0,-196.99,RB
51,Couv Reigning Champ,Michael Pittman Jr.,1,14,236.16,157.9,-78.25999999999999,WR
52,Couv Reigning Champ,Jaylen Waddle,1,6,218.23,188.0,-30.22999999999999,WR
53,Couv Reigning Champ,Kyler Murray,1,8,314.0,199.86,-114.13999999999999,QB
54,Couv Reigning Champ,Chris Godwin,1,27,198.2,131.0,-67.19999999999999,WR
55,Couv Reigning Champ,Rashod Bateman,1,89,197.96,53.5,-144.46,WR
56,Couv Reigning Champ,Melvin Gordon III,1,39,144.72,87.1,-57.620000000000005,RB
57,Couv Reigning Champ,Christian Kirk,1,10,200.01,169.2,-30.810000000000002,WR
58,Couv Reigning Champ,Mike Gesicki,1,21,135.9,74.9,-61.0,TE
59,Couv Reigning Champ,Alexander Mattison,1,56,109.64,52.4,-57.24,RB
60,Couv Reigning Champ,Ravens D/ST,1,7,119.59,88.0,-31.590000000000003,D/ST
61,Couv Reigning Champ,Nyheim Hines,1,53,144.64,57.6,-87.03999999999999,RB
62,Couv Reigning Champ,Harrison Butker,1,26,145.15,61.0,-84.15,K
63,Couv Reigning Champ,Rondale Moore,1,55,130.69,87.9,-42.78999999999999,WR
64,Couv Reigning Champ,Robert Tonyan,1,16,122.08,86.2,-35.879999999999995,TE
65,Gorilla Guys,Derrick Henry,1,3,264.47,217.76,-46.710000000000036,RB
66,Gorilla Guys,Joe Mixon,1,9,258.91,180.9,-78.01000000000002,RB
67,Gorilla Guys,Keenan Allen,1,103,237.62,42.0,-195.62,WR
