,Team,Player,Average Scored Points,Average Projected Points,Position,Length of Ownership,Residual
0,RightInThe McManus,Dalvin Cook,11.511764705882351,15.193529411764704,RB,17,-3.681764705882353
1,RightInThe McManus,Travis Kelce,21.747058823529414,17.282941176470587,TE,17,4.464117647058828
2,RightInThe McManus,Terry McLaurin,11.676470588235293,12.290000000000001,WR,17,-0.6135294117647074
3,RightInThe McManus,Brandin Cooks,7.270588235294118,9.371176470588235,WR,17,-2.1005882352941176
4,RightInThe McManus,Devin Singletary,10.464705882352941,10.323529411764708,RB,17,0.14117647058823302
5,RightInThe McManus,Amari Cooper,14.035294117647059,11.345882352941176,WR,17,2.6894117647058824
6,RightInThe McManus,Russell Wilson,7.836923076923076,11.918461538461536,QB,13,-4.081538461538459
7,RightInThe McManus,Rashaad Penny,7.720000000000001,11.586,RB,5,-3.8659999999999997
8,RightInThe McManus,Ravens D/ST,9.705882352941176,5.467647058823529,D/ST,17,4.238235294117647
9,RightInThe McManus,Matthew Stafford,9.248,17.208000000000002,QB,5,-7.960000000000003
10,RightInThe McManus,Skyy Moore,1.0,3.4299999999999997,WR,4,-2.4299999999999997
11,RightInThe McManus,Brandon McManus,6.0588235294117645,6.84,K,17,-0.7811764705882354
12,RightInThe McManus,Treylon Burks,5.582352941176471,4.6911764705882355,WR,17,0.8911764705882357
13,RightInThe McManus,Khalil Herbert,7.3470588235294105,4.694705882352942,RB,17,2.652352941176469
14,RightInThe McManus,Tua Tagovailoa,11.767058823529412,14.408235294117649,QB,17,-2.6411764705882366
15,RightInThe McManus,Isiah Pacheco,6.514285714285713,6.161428571428571,RB,7,0.3528571428571423
16,RightInThe McManus,Irv Smith Jr.,10.7,7.73,TE,1,2.969999999999999
17,RightInThe McManus,Tyler Allgeier,9.022222222222222,7.403333333333332,RB,9,1.6188888888888897
18,RightInThe McManus,Mack Hollins,6.1,9.99,WR,4,-3.8900000000000006
19,RightInThe McManus,Daniel Jones,18.01,13.645000000000001,QB,12,4.365
20,RightInThe McManus,Devin Duvernay,2.716666666666667,7.55,WR,12,-4.833333333333333
21,RightInThe McManus,Panthers D/ST,-0.5,4.355,D/ST,4,-4.855
22,RightInThe McManus,Joey Slye,5.333333333333333,5.033333333333334,K,9,0.29999999999999893
23,RightInThe McManus,Saints D/ST,4.25,3.7199999999999998,D/ST,8,0.5300000000000002
24,RightInThe McManus,Travis Homer,2.7,7.535,RB,4,-4.835
25,Hot Chubb Time  Machine 2,Matthew Stafford,10.32,14.8,QB,1,-4.48
26,Hot Chubb Time  Machine 2,Isiah Pacheco,8.24,7.112,RB,10,1.1280000000000001
27,Hot Chubb Time  Machine 2,Alexander Mattison,3.0777777777777784,3.9577777777777783,RB,9,-0.8799999999999999
28,Hot Chubb Time  Machine 2,Elijah Moore,3.3000000000000003,10.596666666666666,WR,3,-7.296666666666665
29,Hot Chubb Time  Machine 2,Irv Smith Jr.,0.0,9.02,TE,1,-9.02
30,Hot Chubb Time  Machine 2,Damien Williams,0.05714285714285715,2.46,RB,7,-2.402857142857143
31,Hot Chubb Time  Machine 2,Derek Carr,10.706666666666665,16.563333333333333,QB,3,-5.856666666666667
32,Hot Chubb Time  Machine 2,Hunter Henry,4.0,9.11,TE,1,-5.109999999999999
33,Hot Chubb Time  Machine 2,Justin Fields,15.037777777777778,9.115555555555554,QB,9,5.922222222222224
34,Hot Chubb Time  Machine 2,Justin Jefferson,18.367058823529412,16.0,WR,17,2.367058823529412
35,Hot Chubb Time  Machine 2,Aaron Jones,17.094117647058823,13.507647058823526,RB,17,3.586470588235297
36,Hot Chubb Time  Machine 2,Nick Chubb,17.988235294117644,14.271764705882354,RB,17,3.716470588235289
37,Hot Chubb Time  Machine 2,Travis Etienne Jr.,10.882352941176473,11.566470588235294,RB,17,-0.6841176470588213
38,Hot Chubb Time  Machine 2,Courtland Sutton,9.71764705882353,10.69764705882353,WR,17,-0.9800000000000004
39,Hot Chubb Time  Machine 2,Darnell Mooney,7.750000000000001,10.315,WR,12,-2.5649999999999986
