Team,Expected_Points,Actual_Points,Rank,Difference
None,0.0,0.0,0.0,0.0
MIA,183.26999999999998,155.3,12.2,-27.969999999999988
SEA,158.145,123.91000000000001,11.666666666666666,-34.23500000000001
CLE,167.328,125.6,21.8,-41.727999999999994
NE,152.47,109.94000000000001,18.6,-42.53000000000001
NYJ,140.745,98.0,19.833333333333332,-42.745000000000005
WSH,153.216,108.32000000000001,25.0,-44.896
BAL,142.15714285714287,97.19714285714285,23.0,-44.96
HOU,154.37333333333333,105.13333333333333,31.333333333333332,-49.24000000000001
PHI,198.0583333333333,144.34666666666666,10.5,-53.711666666666666
DET,147.248,92.3,24.0,-54.948
CAR,151.37,95.8,32.5,-55.57
JAX,177.26333333333332,121.59999999999998,12.333333333333334,-55.663333333333334
ATL,165.052,106.564,23.0,-58.488
OAK,197.73250000000002,136.25,13.0,-61.4825
NYG,240.085,178.24,9.5,-61.845
KC,180.1542857142857,112.77142857142857,40.285714285714285,-67.38285714285715
NO,185.72333333333333,114.86666666666667,17.333333333333332,-70.85666666666667
BUF,199.4325,128.5375,17.625,-70.895
GB,179.98857142857145,108.41142857142857,21.428571428571427,-71.57714285714286
CIN,209.53142857142856,135.2742857142857,14.571428571428571,-74.25714285714287
CHI,188.86333333333334,114.18666666666667,25.333333333333332,-74.67666666666666
MIN,226.6225,150.405,12.75,-76.2175
SF,172.6225,95.7375,26.125,-76.88499999999999
LAR,154.8014285714286,77.8,44.142857142857146,-77.00142857142858
DEN,161.27333333333334,81.66666666666667,32.166666666666664,-79.60666666666667
DAL,194.71,110.53999999999999,18.571428571428573,-84.16999999999997
TEN,222.455,135.28,32.0,-87.17500000000001
PIT,193.7175,105.69,31.75,-88.0275
TB,201.28166666666667,112.64999999999999,20.166666666666668,-88.63166666666666
IND,217.45000000000002,119.90000000000002,26.666666666666668,-97.55
ARI,209.38400000000001,109.104,31.0,-100.28
LAC,223.39833333333334,120.63333333333333,40.333333333333336,-102.765
