,Player,Expected_Points,Actual_Points,Rank,Team,Difference
147,Jimmy Garoppolo,14.84,123.84,20,SF,109.0
164,Kenyan Drake,13.48,79.2,42,BAL,65.72
142,Jeff Wilson Jr.,50.21,112.4,21,MIA,62.190000000000005
97,Geno Smith,148.82,182.76,7,SEA,33.94
28,Marcus Mariota,141.19,172.32,12,ATL,31.129999999999995
77,Jamaal Williams,123.09,153.5,15,DET,30.409999999999997
165,Eno Benjamin,64.37,86.3,31,HOU,21.929999999999993
143,Patriots D/ST,90.39,111.0,1,NE,20.61
96,Jets D/ST,70.84,91.0,5,NYJ,20.159999999999997
162,Josh Reynolds,58.02,73.7,55,DET,15.68
30,Parris Campbell,99.2,108.9,36,IND,9.700000000000003
91,D'Onta Foreman,68.17,77.5,38,CAR,9.329999999999998
98,Cowboys D/ST,106.49,109.0,2,DAL,2.510000000000005
89,Kenneth Walker III,126.57,129.0,16,SEA,2.430000000000007
109,Curtis Samuel,133.02,134.5,18,WSH,1.4799999999999898
15,Tyler Conklin,86.0,86.2,7,NYJ,0.20000000000000284
80,Odell Beckham Jr.,0.0,0.0,0,None,0.0
113,Kyren Williams,15.23,12.3,106,LAR,-2.9299999999999997
151,Travis Kelce,227.3,223.0,1,KC,-4.300000000000011
32,Donovan Peoples-Jones,107.67,101.9,46,CLE,-5.769999999999996
75,Tony Pollard,177.23,163.4,17,DAL,-13.829999999999984
20,Josh Jacobs,210.51,194.1,6,OAK,-16.409999999999997
156,Rhamondre Stevenson,182.24,163.7,10,NE,-18.54000000000002
60,Isiah Pacheco,66.3,46.9,63,KC,-19.4
44,Broncos D/ST,86.8,67.0,8,DEN,-19.799999999999997
14,Jerick McKinnon,87.03,66.1,44,KC,-20.930000000000007
145,Eagles D/ST,121.78,99.0,3,PHI,-22.78
26,Raheem Mostert,130.43,107.2,22,MIA,-23.230000000000004
150,Tyreek Hill,246.45,222.3,1,MIA,-24.149999999999977
128,Justin Fields,253.09,227.08,4,CHI,-26.00999999999999
18,Nick Chubb,216.04,187.9,5,CLE,-28.139999999999986
115,Christian Watson,108.76,80.5,51,GB,-28.260000000000005
93,Jason Myers,124.21,95.0,1,SEA,-29.209999999999994
107,Chris Olave,174.45,145.0,19,NO,-29.44999999999999
99,Brett Maher,129.42,99.0,11,DAL,-30.419999999999987
133,Stefon Diggs,258.25,227.3,2,BUF,-30.94999999999999
94,Isaiah Likely,82.16,50.6,27,BAL,-31.559999999999995
12,Tyler Bass,131.58,100.0,9,BUF,-31.580000000000013
83,Rams D/ST,82.21,50.0,21,LAR,-32.209999999999994
114,49ers D/ST,112.33,78.0,6,SF,-34.33
56,Rachaad White,95.97,59.7,46,TB,-36.269999999999996
61,Ravens D/ST,119.59,83.0,11,BAL,-36.59
110,Younghoe Koo,125.78,89.0,9,ATL,-36.78
40,Dallas Goedert,150.33,113.4,4,PHI,-36.93000000000001
1,Davante Adams,253.59,216.4,5,OAK,-37.19
58,Joshua Palmer,150.93,113.0,49,LAC,-37.93000000000001
55,Christian Kirk,200.01,161.1,7,JAX,-38.91
5,Amari Cooper,198.97,159.8,14,CLE,-39.16999999999999
129,Tyler Higbee,130.34,91.0,8,LAR,-39.34
144,Robert Tonyan,122.08,81.2,13,GB,-40.879999999999995
47,Antonio Gibson,181.26,139.8,17,WSH,-41.45999999999998
131,Rondale Moore,130.69,88.5,44,ARI,-42.19
85,Saquon Barkley,227.77,185.3,4,NYG,-42.47
52,Jaylen Waddle,218.23,174.5,6,MIA,-43.72999999999999
140,Daniel Carlson,139.12,95.0,6,OAK,-44.120000000000005
29,Tyler Boyd,168.31,123.82,22,CIN,-44.49000000000001
81,Cairo Santos,121.85,77.0,13,CHI,-44.849999999999994
31,Hayden Hurst,130.09,85.1,14,CIN,-44.99000000000001
9,Gerald Everett,127.63,82.4,9,LAC,-45.22999999999999
158,Pat Freiermuth,144.17,98.2,10,PIT,-45.969999999999985
90,Dameon Pierce,183.65,137.5,13,HOU,-46.150000000000006
105,T.J. Hockenson,168.03,121.4,5,MIN,-46.629999999999995
39,Justin Tucker,144.4,97.0,2,BAL,-47.400000000000006
112,George Pickens,147.03,98.7,52,PIT,-48.33
27,David Njoku,131.43,82.9,15,CLE,-48.53
111,Brian Robinson Jr.,102.87,52.9,55,WSH,-49.970000000000006
127,Bengals D/ST,101.48,50.0,18,CIN,-51.480000000000004
7,Allen Lazard,172.56,120.9,21,GB,-51.66
10,Michael Carter,150.53,98.3,27,NYJ,-52.230000000000004
82,Buccaneers D/ST,124.63,72.0,7,TB,-52.629999999999995
43,Tyler Lockett,197.01,144.0,10,SEA,-53.00999999999999
23,Nick Folk,141.25,88.0,4,NE,-53.25
124,Austin Ekeler,284.73,230.1,1,LAC,-54.630000000000024
66,Joey Slye,126.99,72.0,22,WSH,-54.989999999999995
22,Miles Sanders,184.65,128.0,19,PHI,-56.650000000000006
13,Melvin Gordon III,144.72,87.1,38,DEN,-57.620000000000005
148,Cole Kmet,145.78,87.8,12,CHI,-57.980000000000004
25,Bills D/ST,143.85,85.0,4,BUF,-58.849999999999994
