,Player,Expected_Points,Actual_Points,Rank,Difference
0,Leonard Fournette,258.74,154.7,9,-104.04000000000002
1,Davante Adams,253.59,216.4,5,-37.19
2,Mike Evans,223.32,134.1,12,-89.22
3,Brandin Cooks,215.1,91.6,50,-123.5
4,Devin Singletary,188.72,119.8,24,-68.92
5,Amari Cooper,198.97,159.8,14,-39.16999999999999
6,Cordarrelle Patterson,167.88,92.0,36,-75.88
7,Allen Lazard,172.56,120.9,21,-51.66
8,Joe Burrow,294.45,226.2,5,-68.25
9,Gerald Everett,127.63,82.4,9,-45.22999999999999
10,Michael Carter,150.53,98.3,27,-52.230000000000004
11,Saints D/ST,127.9,53.0,19,-74.9
12,Tyler Bass,131.58,100.0,9,-31.580000000000013
13,Melvin Gordon III,144.72,87.1,38,-57.620000000000005
14,Jerick McKinnon,87.03,66.1,44,-20.930000000000007
15,Tyler Conklin,86.0,86.2,7,0.20000000000000284
16,Justin Jefferson,287.8,215.52,3,-72.28
17,Justin Herbert,328.04,165.2,16,-162.84000000000003
18,Nick Chubb,216.04,187.9,5,-28.139999999999986
19,George Kittle,169.59,73.0,18,-96.59
20,Josh Jacobs,210.51,194.1,6,-16.409999999999997
21,DK Metcalf,212.43,126.1,15,-86.33000000000001
22,Miles Sanders,184.65,128.0,19,-56.650000000000006
23,Nick Folk,141.25,88.0,4,-53.25
24,Brandon Aiyuk,184.92,123.4,20,-61.51999999999998
25,Bills D/ST,143.85,85.0,4,-58.849999999999994
26,Raheem Mostert,130.43,107.2,22,-23.230000000000004
27,David Njoku,131.43,82.9,15,-48.53
28,Marcus Mariota,141.19,172.32,12,31.129999999999995
29,Tyler Boyd,168.31,123.82,22,-44.49000000000001
30,Parris Campbell,99.2,108.9,36,9.700000000000003
31,Hayden Hurst,130.09,85.1,14,-44.99000000000001
32,Donovan Peoples-Jones,107.67,101.9,46,-5.769999999999996
33,Deebo Samuel,261.46,107.6,29,-153.85999999999999
34,Josh Allen,374.63,247.5,2,-127.13
35,James Conner,240.04,85.3,32,-154.74
36,David Montgomery,219.92,104.5,33,-115.41999999999999
37,Elijah Mitchell,197.42,13.9,92,-183.51999999999998
38,Gabe Davis,207.23,120.2,28,-87.02999999999999
39,Justin Tucker,144.4,97.0,2,-47.400000000000006
40,Dallas Goedert,150.33,113.4,4,-36.93000000000001
41,Damien Harris,174.55,75.2,45,-99.35000000000001
42,Dawson Knox,146.56,74.0,23,-72.56
43,Tyler Lockett,197.01,144.0,10,-53.00999999999999
44,Broncos D/ST,86.8,67.0,8,-19.799999999999997
45,Robert Woods,180.44,67.5,62,-112.94
46,Jakobi Meyers,173.92,111.8,33,-62.11999999999999
47,Antonio Gibson,181.26,139.8,17,-41.45999999999998
48,Dak Prescott,306.52,81.98,31,-224.53999999999996
49,Robbie Gould,130.48,62.0,21,-68.47999999999999
50,Dalvin Cook,258.49,156.5,11,-101.99000000000001
51,Michael Pittman Jr.,236.16,138.8,17,-97.35999999999999
52,Jaylen Waddle,218.23,174.5,6,-43.72999999999999
53,Kyler Murray,314.0,174.62,8,-139.38
54,Chris Godwin,198.2,102.0,34,-96.19999999999999
55,Christian Kirk,200.01,161.1,7,-38.91
56,Rachaad White,95.97,59.7,46,-36.269999999999996
57,Gus Edwards,84.01,25.1,71,-58.910000000000004
58,Joshua Palmer,150.93,113.0,49,-37.93000000000001
59,Dalton Schultz,176.66,60.9,24,-115.75999999999999
60,Isiah Pacheco,66.3,46.9,63,-19.4
61,Ravens D/ST,119.59,83.0,11,-36.59
62,Marquise Brown,211.78,109.5,26,-102.28
63,Alvin Kamara,254.82,146.6,14,-108.22
64,Tom Brady,306.83,153.4,13,-153.42999999999998
65,Daniel Jones,252.4,171.18,15,-81.22
66,Joey Slye,126.99,72.0,22,-54.989999999999995
67,Derrick Henry,264.47,203.06,2,-61.410000000000025
68,Joe Mixon,258.91,180.9,8,-78.01000000000002
69,Keenan Allen,237.62,26.1,136,-211.52
70,Kyle Pitts,197.64,75.6,20,-122.03999999999999
71,Diontae Johnson,218.19,100.9,39,-117.28999999999999
72,Jalen Hurts,318.51,240.28,3,-78.22999999999999
73,Amon-Ra St. Brown,208.86,140.8,16,-68.06
74,JuJu Smith-Schuster,197.1,117.5,23,-79.6
75,Tony Pollard,177.23,163.4,17,-13.829999999999984
76,DeAndre Hopkins,150.41,87.6,45,-62.81
77,Jamaal Williams,123.09,153.5,15,30.409999999999997
78,Darrell Henderson Jr.,195.14,73.5,41,-121.63999999999999
79,Tua Tagovailoa,271.03,160.1,11,-110.92999999999998
80,Odell Beckham Jr.,0.0,0.0,0,0.0
81,Cairo Santos,121.85,77.0,13,-44.849999999999994
82,Buccaneers D/ST,124.63,72.0,7,-52.629999999999995
83,Rams D/ST,82.21,50.0,21,-32.209999999999994
84,Mark Andrews,235.05,133.8,2,-101.25
85,Saquon Barkley,227.77,185.3,4,-42.47
86,A.J. Brown,220.85,161.5,9,-59.349999999999994
87,Lamar Jackson,316.41,211.68,6,-104.73000000000002
88,AJ Dillon,168.75,80.6,35,-88.15
89,Kenneth Walker III,126.57,129.0,16,2.430000000000007
90,Dameon Pierce,183.65,137.5,13,-46.150000000000006
91,D'Onta Foreman,68.17,77.5,38,9.329999999999998
92,Cooper Kupp,312.91,201.4,4,-111.51000000000002
93,Jason Myers,124.21,95.0,1,-29.209999999999994
94,Isaiah Likely,82.16,50.6,27,-31.559999999999995
95,Darnell Mooney,212.18,101.5,43,-110.68
96,Jets D/ST,70.84,91.0,5,20.159999999999997
97,Geno Smith,148.82,182.76,7,33.94
98,Cowboys D/ST,106.49,109.0,2,2.510000000000005
99,Brett Maher,129.42,99.0,11,-30.419999999999987
100,Jerry Jeudy,212.2,93.0,41,-119.19999999999999
101,Najee Harris,265.48,124.96,26,-140.52000000000004
102,Ja'Marr Chase,276.17,141.7,11,-134.47000000000003
103,Ezekiel Elliott,214.2,95.2,37,-118.99999999999999
104,Travis Etienne Jr.,205.01,138.7,12,-66.31
105,T.J. Hockenson,168.03,121.4,5,-46.629999999999995
106,Garrett Wilson,175.31,109.8,30,-65.51
107,Chris Olave,174.45,145.0,19,-29.44999999999999
108,James Robinson,151.13,87.6,30,-63.53
109,Curtis Samuel,133.02,134.5,18,1.4799999999999898
110,Younghoe Koo,125.78,89.0,9,-36.78
111,Brian Robinson Jr.,102.87,52.9,55,-49.970000000000006
112,George Pickens,147.03,98.7,52,-48.33
113,Kyren Williams,15.23,12.3,106,-2.9299999999999997
114,49ers D/ST,112.33,78.0,6,-34.33
115,Christian Watson,108.76,80.5,51,-28.260000000000005
116,Aaron Rodgers,309.66,164.08,9,-145.58
117,CeeDee Lamb,252.45,164.3,8,-88.14999999999998
118,Tee Higgins,237.31,139.2,24,-98.11000000000001
119,Cam Akers,146.71,31.5,70,-115.21000000000001
120,Darren Waller,187.71,39.5,35,-148.21
121,Adam Thielen,192.17,108.2,32,-83.96999999999998
122,Drake London,192.77,103.9,38,-88.87
123,Kadarius Toney,186.18,26.5,118,-159.68
124,Austin Ekeler,284.73,230.1,1,-54.630000000000024
125,Noah Fant,139.83,66.6,21,-73.23000000000002
126,Harrison Butker,145.15,47.0,32,-98.15
127,Bengals D/ST,101.48,50.0,18,-51.480000000000004
128,Justin Fields,253.09,227.08,4,-26.00999999999999
129,Tyler Higbee,130.34,91.0,8,-39.34
130,D'Andre Swift,253.66,93.5,34,-160.16
131,Rondale Moore,130.69,88.5,44,-42.19
132,Christian McCaffrey,309.94,184.16,3,-125.78
133,Stefon Diggs,258.25,227.3,2,-30.94999999999999
134,Aaron Jones,242.56,172.6,7,-69.96000000000001
135,Mike Williams,211.44,107.0,31,-104.44
136,DJ Moore,234.57,114.1,27,-120.47
137,Courtland Sutton,210.42,113.8,35,-96.61999999999999
138,Allen Robinson II,201.07,84.9,59,-116.16999999999999
139,Chase Edmonds,174.07,52.1,52,-121.97
140,Daniel Carlson,139.12,95.0,6,-44.120000000000005
141,Jameson Williams,92.61,0.0,0,-92.61
142,Jeff Wilson Jr.,50.21,112.4,21,62.190000000000005
143,Patriots D/ST,90.39,111.0,1,20.61
144,Robert Tonyan,122.08,81.2,13,-40.879999999999995
145,Eagles D/ST,121.78,99.0,3,-22.78
146,Nyheim Hines,144.64,54.5,49,-90.13999999999999
147,Jimmy Garoppolo,14.84,123.84,20,109.0
148,Cole Kmet,145.78,87.8,12,-57.980000000000004
149,Jonathan Taylor,316.99,112.0,27,-204.99
150,Tyreek Hill,246.45,222.3,1,-24.149999999999977
151,Travis Kelce,227.3,223.0,1,-4.300000000000011
152,Patrick Mahomes,352.02,262.4,1,-89.62
153,Terry McLaurin,221.94,142.4,13,-79.53999999999999
154,Kareem Hunt,182.53,95.5,29,-87.03
155,DeVonta Smith,192.23,123.9,25,-68.32999999999998
156,Rhamondre Stevenson,182.24,163.7,10,-18.54000000000002
157,Chase Claypool,180.36,87.24,47,-93.12000000000002
158,Pat Freiermuth,144.17,98.2,10,-45.969999999999985
159,Packers D/ST,135.55,59.0,14,-76.55000000000001
160,Brandon McManus,139.43,77.0,19,-62.43000000000001
161,Breece Hall,210.66,115.1,20,-95.56
162,Josh Reynolds,58.02,73.7,55,15.68
163,Riley Patterson,126.77,65.0,18,-61.769999999999996
164,Kenyan Drake,13.48,79.2,42,65.72
165,Eno Benjamin,64.37,86.3,31,21.929999999999993
