Team,Player,Week,Rank,Projected_Points,Actual_Points,Position,Total_Expected,Total_Actual,Point-Residuals
Hot Chubb Time  Machine 2,Justin Jefferson,1,5,17.87,39.4,WR,287.8,327.06,21.53
Hot Chubb Time  Machine 2,Justin Jefferson,2,6,19.73,10.8,WR,287.8,327.06,-8.93
Hot Chubb Time  Machine 2,Justin Jefferson,3,30,20.12,4.4,WR,287.8,327.06,-15.72
Hot Chubb Time  Machine 2,Justin Jefferson,4,13,17.93,31,WR,287.8,327.06,13.07
Hot Chubb Time  Machine 2,Justin Jefferson,5,16,18.45,30.32,WR,287.8,327.06,11.87
Hot Chubb Time  Machine 2,Justin Jefferson,6,18,19.25,16.7,WR,287.8,327.06,-2.55
Hot Chubb Time  Machine 2,Justin Jefferson,7,0,0,0,WR,287.8,327.06,0
Hot Chubb Time  Machine 2,Justin Jefferson,8,14,18.41,15.8,WR,287.8,327.06,-2.61
Hot Chubb Time  Machine 2,Justin Jefferson,9,15,18.02,25.5,WR,287.8,327.06,7.48
Hot Chubb Time  Machine 2,Justin Jefferson,10,22,19.68,35.3,WR,287.8,327.06,15.62
Hot Chubb Time  Machine 2,Justin Jefferson,11,24,21.38,6.3,WR,287.8,327.06,-15.08
Hot Chubb Time  Machine 2,Justin Jefferson,12,9,19.08,29.34,WR,287.8,327.06,10.26
Hot Chubb Time  Machine 2,Aaron Jones,1,21,15.71,10.6,RB,242.56,222.1,-5.11
Hot Chubb Time  Machine 2,Aaron Jones,2,25,15.35,32,RB,242.56,222.1,16.65
Hot Chubb Time  Machine 2,Aaron Jones,3,4,13.83,5.7,RB,242.56,222.1,-8.13
Hot Chubb Time  Machine 2,Aaron Jones,4,2,14.72,14.5,RB,242.56,222.1,-0.22
Hot Chubb Time  Machine 2,Aaron Jones,5,17,14.79,10,RB,242.56,222.1,-4.79
Hot Chubb Time  Machine 2,Aaron Jones,6,9,14.93,7.4,RB,242.56,222.1,-7.53
Hot Chubb Time  Machine 2,Aaron Jones,7,5,13.89,28.6,RB,242.56,222.1,14.71
Hot Chubb Time  Machine 2,Aaron Jones,8,12,13.67,19.7,RB,242.56,222.1,6.03
Hot Chubb Time  Machine 2,Aaron Jones,9,6,18.39,6.5,RB,242.56,222.1,-11.89
Hot Chubb Time  Machine 2,Aaron Jones,10,3,14.45,23.6,RB,242.56,222.1,9.15
Hot Chubb Time  Machine 2,Aaron Jones,11,8,15.09,14,RB,242.56,222.1,-1.09
Hot Chubb Time  Machine 2,Aaron Jones,12,16,15.29,18.9,RB,242.56,222.1,3.61
Hot Chubb Time  Machine 2,Nick Chubb,1,19,13.87,15.3,RB,216.04,234.4,1.43
Hot Chubb Time  Machine 2,Nick Chubb,2,9,14.87,32.3,RB,216.04,234.4,17.43
Hot Chubb Time  Machine 2,Nick Chubb,3,11,14.85,17.3,RB,216.04,234.4,2.45
Hot Chubb Time  Machine 2,Nick Chubb,4,18,16.37,20.7,RB,216.04,234.4,4.33
Hot Chubb Time  Machine 2,Nick Chubb,5,27,18.11,25.4,RB,216.04,234.4,7.29
Hot Chubb Time  Machine 2,Nick Chubb,6,2,17.24,8,RB,216.04,234.4,-9.24
Hot Chubb Time  Machine 2,Nick Chubb,7,7,16.34,18.7,RB,216.04,234.4,2.36
Hot Chubb Time  Machine 2,Nick Chubb,8,10,16.33,25.4,RB,216.04,234.4,9.07
Hot Chubb Time  Machine 2,Nick Chubb,9,0,0,0,RB,216.04,234.4,0
Hot Chubb Time  Machine 2,Nick Chubb,10,23,18.16,15.1,RB,216.04,234.4,-3.06
Hot Chubb Time  Machine 2,Nick Chubb,11,12,16.53,9.7,RB,216.04,234.4,-6.83
Hot Chubb Time  Machine 2,Nick Chubb,12,4,16.86,20.2,RB,216.04,234.4,3.34
Hot Chubb Time  Machine 2,Travis Etienne Jr.,1,5,13.56,8.5,RB,205.01,162.5,-5.06
Hot Chubb Time  Machine 2,Travis Etienne Jr.,2,28,10.27,8.3,RB,205.01,162.5,-1.97
Hot Chubb Time  Machine 2,Travis Etienne Jr.,3,27,9.89,10.5,RB,205.01,162.5,0.61
Hot Chubb Time  Machine 2,Travis Etienne Jr.,4,16,9.71,3.2,RB,205.01,162.5,-6.51
Hot Chubb Time  Machine 2,Travis Etienne Jr.,5,32,10.3,14.4,RB,205.01,162.5,4.1
Hot Chubb Time  Machine 2,Travis Etienne Jr.,6,28,10.26,12.8,RB,205.01,162.5,2.54
Hot Chubb Time  Machine 2,Travis Etienne Jr.,7,17,11.04,18.9,RB,205.01,162.5,7.86
Hot Chubb Time  Machine 2,Travis Etienne Jr.,8,13,15.03,25.2,RB,205.01,162.5,10.17
Hot Chubb Time  Machine 2,Travis Etienne Jr.,9,29,17.79,26.6,RB,205.01,162.5,8.81
Hot Chubb Time  Machine 2,Travis Etienne Jr.,10,20,18.93,10.3,RB,205.01,162.5,-8.63
Hot Chubb Time  Machine 2,Travis Etienne Jr.,11,0,0,0,RB,205.01,162.5,0
Hot Chubb Time  Machine 2,Travis Etienne Jr.,12,7,17.42,0.3,RB,205.01,162.5,-17.12
Hot Chubb Time  Machine 2,Courtland Sutton,1,3,12.82,11.2,WR,210.42,127.3,-1.62
Hot Chubb Time  Machine 2,Courtland Sutton,2,4,13.01,19.7,WR,210.42,127.3,6.69
Hot Chubb Time  Machine 2,Courtland Sutton,3,20,13.5,17.7,WR,210.42,127.3,4.2
Hot Chubb Time  Machine 2,Courtland Sutton,4,17,15.4,16.2,WR,210.42,127.3,0.8
Hot Chubb Time  Machine 2,Courtland Sutton,5,7,16.07,12.4,WR,210.42,127.3,-3.67
Hot Chubb Time  Machine 2,Courtland Sutton,6,8,16.79,3.4,WR,210.42,127.3,-13.39
Hot Chubb Time  Machine 2,Courtland Sutton,7,2,13.96,5.3,WR,210.42,127.3,-8.66
Hot Chubb Time  Machine 2,Courtland Sutton,8,23,13.29,2.3,WR,210.42,127.3,-10.99
Hot Chubb Time  Machine 2,Courtland Sutton,9,0,0,0,WR,210.42,127.3,0
Hot Chubb Time  Machine 2,Courtland Sutton,10,32,11.46,12.6,WR,210.42,127.3,1.14
Hot Chubb Time  Machine 2,Courtland Sutton,11,17,13.37,13,WR,210.42,127.3,-0.37
Hot Chubb Time  Machine 2,Courtland Sutton,12,25,13,13.5,WR,210.42,127.3,0.5
Hot Chubb Time  Machine 2,Darnell Mooney,1,20,11.62,1.8,WR,212.18,101.5,-9.82
Hot Chubb Time  Machine 2,Darnell Mooney,2,5,11.55,0.6,WR,212.18,101.5,-10.95
Hot Chubb Time  Machine 2,Darnell Mooney,3,4,9.73,4.3,WR,212.18,101.5,-5.43
Hot Chubb Time  Machine 2,Darnell Mooney,4,12,8.27,13.4,WR,212.18,101.5,5.13
Hot Chubb Time  Machine 2,Darnell Mooney,5,31,8.52,7.2,WR,212.18,101.5,-1.32
Hot Chubb Time  Machine 2,Darnell Mooney,6,15,8.17,13.8,WR,212.18,101.5,5.63
Hot Chubb Time  Machine 2,Darnell Mooney,7,9,10.5,8.3,WR,212.18,101.5,-2.2
Hot Chubb Time  Machine 2,Darnell Mooney,8,24,11.09,12,WR,212.18,101.5,0.91
Hot Chubb Time  Machine 2,Darnell Mooney,9,18,9.79,17.5,WR,212.18,101.5,7.71
Hot Chubb Time  Machine 2,Darnell Mooney,10,30,10.68,9.7,WR,212.18,101.5,-0.98
Hot Chubb Time  Machine 2,Darnell Mooney,11,27,10.5,12.9,WR,212.18,101.5,2.4
Hot Chubb Time  Machine 2,Darnell Mooney,12,2,11.03,0,WR,212.18,101.5,-11.03
Hot Chubb Time  Machine 2,Chase Edmonds,1,31,10.65,10.5,RB,174.07,52.1,-0.15
Hot Chubb Time  Machine 2,Chase Edmonds,2,32,12.93,5.1,RB,174.07,52.1,-7.83
Hot Chubb Time  Machine 2,Chase Edmonds,3,1,11.41,15.7,RB,174.07,52.1,4.29
Hot Chubb Time  Machine 2,Chase Edmonds,4,29,11.23,10,RB,174.07,52.1,-1.23
Hot Chubb Time  Machine 2,Chase Edmonds,5,28,9.33,0.1,RB,174.07,52.1,-9.23
Hot Chubb Time  Machine 2,Chase Edmonds,6,27,7.2,5.1,RB,174.07,52.1,-2.1
Hot Chubb Time  Machine 2,Chase Edmonds,7,9,6.29,1.7,RB,174.07,52.1,-4.59
Deshaunorable Discharge,Chase Edmonds,8,24,8.24,1.4,RB,174.07,52.1,-6.84
Deshaunorable Discharge,Chase Edmonds,9,0,0,0,RB,174.07,52.1,0
Deshaunorable Discharge,Chase Edmonds,10,8,5.82,1.9,RB,174.07,52.1,-3.92
Hot Chubb Time  Machine 2,Trey Lance,1,24,17.51,9.96,QB,284.03,12.46,-7.55
Hot Chubb Time  Machine 2,Trey Lance,2,18,17.98,2.5,QB,284.03,12.46,-15.48
Hot Chubb Time  Machine 2,Brandon Aiyuk,1,16,10.72,6.7,WR,184.92,178.1,-4.02
Hot Chubb Time  Machine 2,Brandon Aiyuk,2,3,10.66,11.3,WR,184.92,178.1,0.64
Hot Chubb Time  Machine 2,Brandon Aiyuk,3,1,11.59,12.9,WR,184.92,178.1,1.31
Hot Chubb Time  Machine 2,Brandon Aiyuk,4,21,12.38,7.7,WR,184.92,178.1,-4.68
Hot Chubb Time  Machine 2,Brandon Aiyuk,5,25,10.77,8.8,WR,184.92,178.1,-1.97
Hot Chubb Time  Machine 2,Brandon Aiyuk,6,27,9.98,28.3,WR,184.92,178.1,18.32
Hot Chubb Time  Machine 2,Brandon Aiyuk,7,29,11.1,15.2,WR,184.92,178.1,4.1
Hot Chubb Time  Machine 2,Brandon Aiyuk,8,21,12.58,20.1,WR,184.92,178.1,7.52
Hot Chubb Time  Machine 2,Brandon Aiyuk,9,0,0,0,WR,184.92,178.1,0
Hot Chubb Time  Machine 2,Brandon Aiyuk,10,8,11.9,12.4,WR,184.92,178.1,0.5
Hot Chubb Time  Machine 2,Brandon Aiyuk,11,14,11.73,16,WR,184.92,178.1,4.27
Hot Chubb Time  Machine 2,Brandon Aiyuk,12,13,12.09,11.5,WR,184.92,178.1,-0.59
Hot Chubb Time  Machine 2,Cole Kmet,1,8,7.89,0,TE,145.78,113.2,-7.89
Trash Trash,Cole Kmet,11,0,0,0,TE,145.78,113.2,0
Trash Trash,Cole Kmet,12,9,8.92,6.5,TE,145.78,113.2,-2.42
Hot Chubb Time  Machine 2,George Pickens,1,10,8.57,1.3,WR,147.03,128.7,-7.27
Hot Chubb Time  Machine 2,George Pickens,2,9,8.76,3.3,WR,147.03,128.7,-5.46
Hot Chubb Time  Machine 2,George Pickens,3,11,7.03,6.9,WR,147.03,128.7,-0.13
Hot Chubb Time  Machine 2,George Pickens,4,2,9.1,16.2,WR,147.03,128.7,7.1
Hot Chubb Time  Machine 2,George Pickens,5,22,9.92,14.3,WR,147.03,128.7,4.38
Hot Chubb Time  Machine 2,George Pickens,6,19,10.03,5.8,WR,147.03,128.7,-4.23
Hot Chubb Time  Machine 2,George Pickens,7,18,10.58,18.1,WR,147.03,128.7,7.52
Hot Chubb Time  Machine 2,George Pickens,8,6,10.69,0,WR,147.03,128.7,-10.69
Hot Chubb Time  Machine 2,George Pickens,9,0,0,0,WR,147.03,128.7,0
Hot Chubb Time  Machine 2,George Pickens,10,13,10.11,14.5,WR,147.03,128.7,4.39
Hot Chubb Time  Machine 2,George Pickens,11,10,9.78,18.3,WR,147.03,128.7,8.52
Hot Chubb Time  Machine 2,George Pickens,12,7,10.05,10.7,WR,147.03,128.7,0.65
Hot Chubb Time  Machine 2,Darrell Henderson Jr.,1,0,7.85,12.3,RB,195.14,73.5,4.45
Hot Chubb Time  Machine 2,Darrell Henderson Jr.,2,0,15.49,10.7,RB,195.14,73.5,-4.79
Hot Chubb Time  Machine 2,Darrell Henderson Jr.,3,0,10.68,1.7,RB,195.14,73.5,-8.98
Hot Chubb Time  Machine 2,Darrell Henderson Jr.,4,0,8.02,6.9,RB,195.14,73.5,-1.12
Hot Chubb Time  Machine 2,Darrell Henderson Jr.,5,0,8.73,7,RB,195.14,73.5,-1.73
Hot Chubb Time  Machine 2,Darrell Henderson Jr.,6,0,12.28,13.2,RB,195.14,73.5,0.92
Hot Chubb Time  Machine 2,Darrell Henderson Jr.,7,0,0,0,RB,195.14,73.5,0
Hot Chubb Time  Machine 2,Darrell Henderson Jr.,8,0,11.74,5,RB,195.14,73.5,-6.74
Corduroy Patterson,Darrell Henderson Jr.,9,0,7.33,5.6,RB,195.14,73.5,-1.73
Corduroy Patterson,Darrell Henderson Jr.,10,0,9.07,10.2,RB,195.14,73.5,1.13
Corduroy Patterson,Darrell Henderson Jr.,11,0,8.67,0.9,RB,195.14,73.5,-7.77
Corduroy Patterson,Darrell Henderson Jr.,12,0,0,0,RB,195.14,73.5,0
Hot Chubb Time  Machine 2,Kenneth Gainwell,1,6,6.57,11.2,RB,117.67,69.2,4.63
