,Team,Player,ID,RoundPick,RoundNum
0,JTT 4EVR,Jonathan Taylor,4242335,1,1
1,Dessert Desperadoes,Austin Ekeler,3068267,2,1
2,3 PP Wine,Christian McCaffrey,3117251,3,1
3,Sunday Funday,Cooper Kupp,2977187,4,1
4,Devon Allen’s Hurdle crew,Derrick Henry,3043078,5,1
5,Trash Trash,Najee Harris,4241457,6,1
6,Dakcidental  Thumblers ,Ja'Marr Chase,4362628,7,1
7,Hot Chubb Time  Machine 2,Justin Jefferson,4262921,8,1
8,RightInThe McManus,Dalvin Cook,3116593,9,1
9,Deshaunorable Discharge,Joe Mixon,3116385,10,1
10,Corduroy Patterson,Alvin Kamara,3054850,11,1
11,Country Road Take Mahomes ,D'Andre Swift,4259545,12,1
12,Country Road Take Mahomes ,Stefon Diggs,2976212,1,2
13,Corduroy Patterson,Davante Adams,16800,2,2
14,Deshaunorable Discharge,Leonard Fournette,3115364,3,2
15,RightInThe McManus,Travis Kelce,15847,4,2
16,Hot Chubb Time  Machine 2,Aaron Jones,3042519,5,2
17,Dakcidental  Thumblers ,Mark Andrews,3116365,6,2
18,Trash Trash,Saquon Barkley,3929630,7,2
19,Devon Allen’s Hurdle crew,Deebo Samuel,3126486,8,2
20,Sunday Funday,CeeDee Lamb,4241389,9,2
21,3 PP Wine,James Conner,3045147,10,2
22,Dessert Desperadoes,Ezekiel Elliott,3051392,11,2
23,JTT 4EVR,Tyreek Hill,3116406,12,2
24,JTT 4EVR,Mike Evans,16737,1,3
25,Dessert Desperadoes,Michael Pittman Jr.,4035687,2,3
26,3 PP Wine,Keenan Allen,15818,3,3
27,Sunday Funday,Javonte Williams,4361579,4,3
28,Devon Allen’s Hurdle crew,DJ Moore,3915416,5,3
29,Trash Trash,Tee Higgins,4239993,6,3
30,Dakcidental  Thumblers ,Cam Akers,4240021,7,3
31,Hot Chubb Time  Machine 2,Nick Chubb,3128720,8,3
32,RightInThe McManus,Terry McLaurin,3121422,9,3
33,Deshaunorable Discharge,A.J. Brown,4047646,10,3
34,Corduroy Patterson,Breece Hall,4427366,11,3
35,Country Road Take Mahomes ,Patrick Mahomes,3139477,12,3
36,Country Road Take Mahomes ,DK Metcalf,4047650,1,4
37,Corduroy Patterson,Diontae Johnson,3932905,2,4
38,Deshaunorable Discharge,Jaylen Waddle,4372016,3,4
39,RightInThe McManus,Brandin Cooks,16731,4,4
40,Hot Chubb Time  Machine 2,Travis Etienne Jr.,4239996,5,4
41,Dakcidental  Thumblers ,David Montgomery,4035538,6,4
42,Trash Trash,Mike Williams,3045138,7,4
43,Devon Allen’s Hurdle crew,Josh Jacobs,4047365,8,4
44,Sunday Funday,Kyle Pitts,4360248,9,4
45,3 PP Wine,Josh Allen,3918298,10,4
46,Dessert Desperadoes,Justin Herbert,4038941,11,4
47,JTT 4EVR,J.K. Dobbins,4241985,12,4
48,JTT 4EVR,Lamar Jackson,3916387,1,5
