,Team,Player,ID,RoundPick,RoundNum,Expected_Points,Actual_Points,Rank,NFLTeam,Difference
0,P-Town CASH KEVIN,Jonathan Taylor,4242335,1,1,316.99,112.0,24,IND,-204.99
1,Diggy Wit it,Christian McCaffrey,3117251,2,1,309.94,201.76,3,SF,-108.18
2,My Team  A Bust,Austin Ekeler,3068267,3,1,284.73,230.1,1,LAC,-54.630000000000024
3,Eugene Tweakers,Cooper Kupp,2977187,4,1,312.91,201.4,5,LAR,-111.51000000000002
4,Couv Reigning Champ,Dalvin Cook,3116593,5,1,258.49,156.5,11,MIN,-101.99000000000001
5,Gorilla Guys,Derrick Henry,3043078,6,1,264.47,203.06,2,TEN,-61.410000000000025
6,I dont know what im doing,Leonard Fournette,3115364,7,1,258.74,154.7,12,TB,-104.04000000000002
7,Cougar Town Zach Wilson,Deebo Samuel,3126486,8,1,261.46,130.0,21,SF,-131.45999999999998
8,No Nyugen Will Win,Najee Harris,4241457,9,1,265.48,124.96,20,PIT,-140.52000000000004
9,Just-in-N-out Drive thru,Justin Jefferson,4262921,10,1,287.8,215.52,4,MIN,-72.28
10,Just-in-N-out Drive thru,Justin Herbert,4038941,1,2,328.04,165.2,11,LAC,-162.84000000000003
11,No Nyugen Will Win,Ja'Marr Chase,4362628,2,2,276.17,141.7,14,CIN,-134.47000000000003
12,Cougar Town Zach Wilson,Josh Allen,3918298,3,2,374.63,247.5,2,BUF,-127.13
13,I dont know what im doing,Davante Adams,16800,4,2,253.59,216.4,3,OAK,-37.19
14,Gorilla Guys,Joe Mixon,3116385,5,2,258.91,180.9,7,CIN,-78.01000000000002
15,Couv Reigning Champ,D'Andre Swift,4259545,6,2,253.66,93.5,33,DET,-160.16
16,Eugene Tweakers,Alvin Kamara,3054850,7,2,254.82,146.6,14,NO,-108.22
17,My Team  A Bust,Mark Andrews,3116365,8,2,235.05,133.8,2,BAL,-101.25
18,Diggy Wit it,Stefon Diggs,2976212,9,2,258.25,227.3,1,BUF,-30.94999999999999
19,P-Town CASH KEVIN,Tyreek Hill,3116406,10,2,246.45,222.3,2,MIA,-24.149999999999977
20,P-Town CASH KEVIN,Travis Kelce,15847,1,3,227.3,223.0,1,KC,-4.300000000000011
21,Diggy Wit it,Aaron Jones,3042519,2,3,242.56,172.6,8,GB,-69.96000000000001
22,My Team  A Bust,Saquon Barkley,3929630,3,3,227.77,185.3,6,NYG,-42.47
23,Eugene Tweakers,CeeDee Lamb,4241389,4,3,252.45,164.3,7,DAL,-88.14999999999998
24,Gorilla Guys,Keenan Allen,15818,6,3,237.62,26.1,121,LAC,-211.52
25,I dont know what im doing,Mike Evans,16737,7,3,223.32,134.1,20,TB,-89.22
26,Cougar Town Zach Wilson,James Conner,3045147,8,3,240.04,98.7,28,ARI,-141.33999999999997
27,No Nyugen Will Win,Ezekiel Elliott,3051392,9,3,214.2,95.2,32,DAL,-118.99999999999999
28,Just-in-N-out Drive thru,Nick Chubb,3128720,10,3,216.04,187.9,5,CLE,-28.139999999999986
29,Just-in-N-out Drive thru,George Kittle,3040151,1,4,169.59,97.4,7,SF,-72.19
30,Cougar Town Zach Wilson,David Montgomery,4035538,3,4,219.92,104.5,27,CHI,-115.41999999999999
31,I dont know what im doing,Breece Hall,4427366,4,4,210.66,115.1,22,NYJ,-95.56
32,Gorilla Guys,Kyle Pitts,4360248,5,4,197.64,75.6,18,ATL,-122.03999999999999
33,Couv Reigning Champ,Michael Pittman Jr.,4035687,6,4,236.16,138.8,18,IND,-97.35999999999999
34,Eugene Tweakers,Tee Higgins,4239993,7,4,237.31,139.2,17,CIN,-98.11000000000001
35,My Team  A Bust,A.J. Brown,4047646,8,4,220.85,161.5,8,PHI,-59.349999999999994
36,Diggy Wit it,Mike Williams,3045138,9,4,211.44,107.0,36,LAC,-104.44
