,Player,Week,Rank,Projected_Points,Actual_Points,Point-Residuals,label,normalized_label
0,49ers D/ST,5.11,22.33,6.58,8.89,2.31,0.56,0.20052083333333334
1,A.J. Brown,6.0,16.91,14.67,14.68,0.01,0.45,0.0008680555555555556
2,AJ Dillon,6.0,11.27,10.16,7.33,-2.83,0.18,-0.24565972222222224
3,Aaron Jones,6.0,11.27,14.98,15.69,0.71,0.36,0.06163194444444444
4,Aaron Rodgers,1.5,19.5,19.63,10.03,-9.6,0.0,-0.8333333333333334
5,Adam Thielen,6.0,15.09,10.62,9.84,-0.78,0.45,-0.06770833333333334
6,Alexander Mattison,3.5,18.33,5.17,5.92,0.75,0.5,0.06510416666666667
7,Allen Lazard,6.0,16.27,9.89,10.99,1.11,0.64,0.09635416666666669
8,Allen Robinson II,6.0,17.64,9.45,7.72,-1.73,0.45,-0.1501736111111111
9,Alvin Kamara,6.0,17.64,15.1,13.33,-1.77,0.45,-0.15364583333333334
10,Amari Cooper,6.0,16.09,11.73,14.53,2.8,0.64,0.24305555555555555
11,Amon-Ra St. Brown,6.0,11.55,13.01,12.8,-0.21,0.45,-0.018229166666666668
12,Antonio Gibson,6.0,19.09,11.89,12.71,0.82,0.55,0.07118055555555555
13,Austin Ekeler,6.0,20.73,17.7,20.92,3.22,0.55,0.2795138888888889
14,Bengals D/ST,2.0,18.0,6.38,6.0,-0.38,0.0,-0.03298611111111111
15,Bills D/ST,6.0,13.91,4.91,7.73,2.82,0.64,0.24479166666666666
16,Brandin Cooks,6.0,12.0,10.51,8.33,-2.18,0.45,-0.18923611111111113
17,Brandon Aiyuk,6.0,16.27,10.31,12.67,2.36,0.73,0.2048611111111111
18,Brandon McManus,6.0,11.45,7.0,7.0,-0.0,0.55,-0.0
19,Breece Hall,6.0,11.73,7.79,10.46,2.68,0.91,0.23263888888888892
20,Brian Robinson Jr.,6.0,19.09,5.61,4.81,-0.8,0.64,-0.06944444444444445
21,Broncos D/ST,6.0,9.33,3.89,0.67,-3.23,0.33,-0.2803819444444445
22,Buccaneers D/ST,5.0,15.43,5.04,4.71,-0.32,0.57,-0.02777777777777778
23,Cam Akers,6.0,10.64,5.6,2.86,-2.74,0.45,-0.23784722222222224
24,CeeDee Lamb,6.0,14.64,14.55,14.94,0.39,0.55,0.03385416666666667
25,Chargers D/ST,4.5,7.5,2.24,1.0,-1.24,0.5,-0.1076388888888889
26,Chase Claypool,6.0,16.55,9.99,7.93,-2.06,0.27,-0.17881944444444445
27,Chase Edmonds,6.0,18.73,7.88,4.74,-3.14,0.27,-0.2725694444444445
28,Chris Godwin,6.0,19.82,9.76,9.27,-0.49,0.55,-0.042534722222222224
29,Chris Olave,6.0,20.73,10.91,13.18,2.27,0.64,0.19704861111111113
30,Christian Kirk,6.0,9.36,12.44,14.65,2.2,0.64,0.19097222222222224
31,Christian McCaffrey,6.0,18.91,17.84,18.34,0.5,0.45,0.043402777777777776
32,Christian Watson,2.0,30.0,9.64,21.1,11.46,1.0,0.9947916666666667
33,Clyde Edwards-Helaire,3.5,18.17,12.12,14.22,2.1,0.67,0.18229166666666669
34,Cole Kmet,1.5,8.5,7.84,0.0,-7.84,0.0,-0.6805555555555556
35,Colts D/ST,1.5,17.5,6.9,3.5,-3.39,0.0,-0.29427083333333337
36,Cooper Kupp,6.0,17.64,16.91,18.31,1.39,0.73,0.12065972222222222
37,Cordarrelle Patterson,6.0,18.36,7.32,8.36,1.05,0.73,0.09114583333333334
38,Courtland Sutton,6.0,12.45,12.7,10.35,-2.35,0.45,-0.20399305555555558
39,Cowboys D/ST,6.0,16.09,5.44,9.91,4.47,0.91,0.3880208333333333
40,Curtis Samuel,6.0,13.0,12.03,10.27,-1.76,0.56,-0.1527777777777778
41,D'Andre Swift,6.0,14.27,9.02,8.5,-0.52,0.73,-0.045138888888888895
42,DJ Chark,3.0,13.8,6.23,4.56,-1.67,0.6,-0.1449652777777778
43,DJ Moore,6.0,19.09,13.17,10.37,-2.8,0.18,-0.24305555555555555
44,DK Metcalf,6.0,14.82,12.89,11.46,-1.43,0.45,-0.12413194444444445
45,Dak Prescott,4.2,12.0,9.98,8.86,-1.12,0.8,-0.09722222222222224
46,Dallas Goedert,6.0,13.91,8.3,10.31,2.01,0.73,0.17447916666666666
47,Dalton Schultz,3.67,13.0,8.13,5.4,-2.73,0.5,-0.23697916666666669
48,Dalvin Cook,6.0,13.64,15.17,14.23,-0.94,0.36,-0.08159722222222222
49,Dameon Pierce,6.0,16.64,13.1,12.5,-0.6,0.36,-0.052083333333333336
50,Damien Harris,6.0,16.09,7.89,6.84,-1.05,0.64,-0.09114583333333334
51,Daniel Carlson,6.0,18.91,7.56,8.64,1.07,0.73,0.09288194444444445
52,Darnell Mooney,2.0,12.0,10.97,2.23,-8.73,0.0,-0.7578125000000001
53,Darrell Henderson Jr.,6.0,18.0,9.08,6.68,-2.4,0.36,-0.20833333333333334
54,Darren Waller,6.0,17.0,5.48,3.59,-1.89,0.73,-0.1640625
55,Davante Adams,6.0,12.64,16.55,19.67,3.12,0.64,0.27083333333333337
56,David Montgomery,6.0,14.27,12.46,9.5,-2.96,0.36,-0.2569444444444445
57,David Njoku,6.0,14.2,4.29,3.56,-0.73,0.8,-0.06336805555555555
58,Dawson Knox,6.0,14.09,6.99,6.73,-0.26,0.55,-0.022569444444444448
59,DeAndre Hopkins,6.0,19.27,7.05,9.61,2.56,0.91,0.22222222222222224
60,DeVonta Smith,6.0,16.91,11.24,11.26,0.02,0.64,0.0017361111111111112
61,Deebo Samuel,6.0,16.27,13.48,11.82,-1.66,0.36,-0.1440972222222222
62,Derek Carr,3.8,10.2,13.26,11.36,-1.9,0.4,-0.16493055555555555
63,Derrick Henry,6.0,16.55,16.41,18.46,2.05,0.64,0.17795138888888887
64,Devin Singletary,6.0,15.09,11.21,10.89,-0.32,0.45,-0.02777777777777778
