,Team,Week,Player,Position,Unnamed: 0,Rank,Expected_Points,Actual_Points,Difference,Point-Residuals,label,normalized_label
0,Cougar Town Zach Wilson,1,Brian Robinson Jr.,RB,46.0,48.0,102.87,73.4,-29.47,-29.47,1.0,-0.11
1,Cougar Town Zach Wilson,1,DJ Chark,WR,43.0,116.0,146.04,32.4,-113.64,-113.64,0.0,-0.42
2,Cougar Town Zach Wilson,1,Dallas Goedert,TE,39.0,5.0,150.33,113.4,-36.93,-36.93,1.0,-0.14
3,Cougar Town Zach Wilson,1,Damien Harris,RB,40.0,45.0,174.55,76.8,-97.75,-97.75,0.0,-0.36
4,Cougar Town Zach Wilson,1,David Montgomery,RB,35.0,25.0,219.92,118.8,-101.12,-101.12,0.0,-0.37
5,Cougar Town Zach Wilson,1,Dawson Knox,TE,42.0,19.0,146.56,77.7,-68.86,-68.86,0.0,-0.25
6,Cougar Town Zach Wilson,1,Deebo Samuel,WR,32.0,22.0,261.46,137.3,-124.16,-124.16,0.0,-0.46
7,Cougar Town Zach Wilson,1,Elijah Mitchell,RB,36.0,78.0,197.42,26.1,-171.32,-171.32,0.0,-0.63
8,Cougar Town Zach Wilson,1,Elijah Moore,WR,41.0,88.0,198.34,53.6,-144.74,-144.74,0.0,-0.53
9,Cougar Town Zach Wilson,1,Gabe Davis,WR,37.0,21.0,207.23,137.5,-69.73,-69.73,0.0,-0.26
10,Cougar Town Zach Wilson,1,James Conner,RB,34.0,24.0,240.04,119.7,-120.34,-120.34,0.0,-0.44
11,Cougar Town Zach Wilson,1,Josh Allen,QB,33.0,1.0,374.63,294.34,-80.29,-80.29,0.0,-0.3
12,Cougar Town Zach Wilson,1,Justin Tucker,K,38.0,2.0,144.4,111.0,-33.4,-33.4,1.0,-0.12
13,Cougar Town Zach Wilson,1,Kirk Cousins,QB,47.0,13.0,269.17,177.3,-91.87,-91.87,0.0,-0.34
14,Cougar Town Zach Wilson,1,Noah Fant,TE,45.0,23.0,139.83,73.0,-66.83,-66.83,0.0,-0.25
15,Cougar Town Zach Wilson,1,Steelers D/ST,D/ST,44.0,24.0,108.82,49.0,-59.82,-59.82,1.0,-0.22
16,Cougar Town Zach Wilson,2,DJ Chark,WR,206.0,116.0,146.04,32.4,-113.64,-113.64,0.0,-0.42
17,Cougar Town Zach Wilson,2,Dallas Goedert,TE,202.0,5.0,150.33,113.4,-36.93,-36.93,1.0,-0.14
18,Cougar Town Zach Wilson,2,Damien Harris,RB,203.0,45.0,174.55,76.8,-97.75,-97.75,0.0,-0.36
19,Cougar Town Zach Wilson,2,David Montgomery,RB,198.0,25.0,219.92,118.8,-101.12,-101.12,0.0,-0.37
20,Cougar Town Zach Wilson,2,Dawson Knox,TE,205.0,19.0,146.56,77.7,-68.86,-68.86,0.0,-0.25
21,Cougar Town Zach Wilson,2,Deebo Samuel,WR,195.0,22.0,261.46,137.3,-124.16,-124.16,0.0,-0.46
22,Cougar Town Zach Wilson,2,Elijah Mitchell,RB,199.0,78.0,197.42,26.1,-171.32,-171.32,0.0,-0.63
23,Cougar Town Zach Wilson,2,Elijah Moore,WR,204.0,88.0,198.34,53.6,-144.74,-144.74,0.0,-0.53
24,Cougar Town Zach Wilson,2,Gabe Davis,WR,200.0,21.0,207.23,137.5,-69.73,-69.73,0.0,-0.26
25,Cougar Town Zach Wilson,2,James Conner,RB,197.0,24.0,240.04,119.7,-120.34,-120.34,0.0,-0.44
26,Cougar Town Zach Wilson,2,Josh Allen,QB,196.0,1.0,374.63,294.34,-80.29,-80.29,0.0,-0.3
27,Cougar Town Zach Wilson,2,Justin Tucker,K,201.0,2.0,144.4,111.0,-33.4,-33.4,1.0,-0.12
28,Cougar Town Zach Wilson,2,Matthew Stafford,QB,211.0,26.0,285.7,108.38,-177.32,-177.32,0.0,-0.65
29,Cougar Town Zach Wilson,2,Noah Fant,TE,208.0,23.0,139.83,73.0,-66.83,-66.83,0.0,-0.25
30,Cougar Town Zach Wilson,2,Steelers D/ST,D/ST,207.0,24.0,108.82,49.0,-59.82,-59.82,1.0,-0.22
31,Cougar Town Zach Wilson,2,Tyler Lockett,WR,209.0,13.0,197.01,159.8,-37.21,-37.21,1.0,-0.14
32,Cougar Town Zach Wilson,2,Tyrion Davis-Price,RB,210.0,129.0,31.94,3.7,-28.24,-28.24,1.0,-0.1
